,Customer Age,Customer Gender,Product Purchased,Ticket Subject,Customer Satisfaction Rating,Days_Since_Purchase,Satisfaction_Level
2645,62,Male,Samsung Soundbar,Peripheral compatibility,3.0,1699,Medium
2648,31,Female,Amazon Echo,Hardware issue,4.0,1371,High
2649,31,Male,Google Pixel,Product recommendation,3.0,1676,Medium
2650,32,Male,Fitbit Versa Smartwatch,Product setup,1.0,1423,Low
2651,36,Male,Nintendo Switch,Battery life,3.0,1914,Medium
2656,18,Male,Amazon Echo,Cancellation request,5.0,1362,High
2660,28,Male,Xbox,Installation support,4.0,1568,High
2661,51,Male,Microsoft Surface,Installation support,3.0,2008,Medium
2670,57,Male,Nintendo Switch,Refund request,2.0,1372,Low
2673,62,Male,Garmin Forerunner,Product compatibility,1.0,1819,Low
2678,69,Other,iPhone,Product compatibility,3.0,1500,Medium
2679,63,Other,Nest Thermostat,Display issue,3.0,1728,Medium
2682,30,Male,Roomba Robot Vacuum,Product setup,2.0,1768,Low
2683,34,Other,Fitbit Versa Smartwatch,Hardware issue,4.0,1509,High
2686,67,Male,Bose SoundLink Speaker,Delivery problem,2.0,1618,Low
2695,18,Male,Microsoft Office,Payment issue,2.0,1942,Low
2698,28,Female,Microsoft Surface,Battery life,2.0,1640,Low
2700,63,Female,Amazon Kindle,Delivery problem,1.0,1476,Low
2701,44,Male,PlayStation,Payment issue,3.0,1843,Medium
2702,39,Male,Fitbit Versa Smartwatch,Peripheral compatibility,5.0,1862,High
2704,29,Female,iPhone,Display issue,4.0,1743,High
2711,53,Other,Google Nest,Product setup,3.0,1938,Medium
2715,27,Female,PlayStation,Product recommendation,3.0,1831,Medium
2717,19,Female,Philips Hue Lights,Battery life,5.0,1475,High
2726,20,Female,Microsoft Surface,Payment issue,4.0,1318,High
2728,19,Other,Xbox,Refund request,3.0,1806,Medium
2729,28,Other,Bose QuietComfort,Data loss,3.0,1670,Medium
2733,30,Male,Philips Hue Lights,Cancellation request,1.0,1904,Low
2736,65,Other,Sony PlayStation,Delivery problem,2.0,2024,Low
2738,70,Female,Dyson Vacuum Cleaner,Delivery problem,5.0,1852,High
2739,28,Female,Bose QuietComfort,Network problem,2.0,1702,Low
2741,62,Female,Amazon Kindle,Software bug,1.0,1622,Low
2751,33,Male,Garmin Forerunner,Product compatibility,4.0,1993,High
2752,44,Female,Philips Hue Lights,Account access,1.0,1720,Low
2753,39,Male,Canon EOS,Hardware issue,1.0,1926,Low
2754,23,Female,Google Nest,Data loss,1.0,2018,Low
2755,53,Female,LG OLED,Battery life,5.0,1939,High
2759,22,Female,Apple AirPods,Account access,1.0,1775,Low
2762,65,Male,Lenovo ThinkPad,Refund request,3.0,1629,Medium
2766,31,Female,LG OLED,Software bug,5.0,1751,High
2770,22,Male,iPhone,Installation support,3.0,1762,Medium
2772,69,Other,Google Pixel,Product recommendation,5.0,1654,High
2773,58,Female,Bose SoundLink Speaker,Software bug,3.0,1571,Medium
2779,41,Male,MacBook Pro,Software bug,3.0,1887,Medium
2780,41,Female,LG OLED,Cancellation request,5.0,1608,High
2783,48,Other,Adobe Photoshop,Product recommendation,5.0,1363,High
2787,67,Female,Dell XPS,Software bug,2.0,1972,Low
2795,33,Other,Nikon D,Hardware issue,5.0,1747,High
2800,34,Male,Asus ROG,Data loss,4.0,1355,High
2801,66,Male,Adobe Photoshop,Peripheral compatibility,5.0,2037,High
2803,53,Male,Canon EOS,Delivery problem,4.0,1800,High
2807,56,Other,MacBook Pro,Hardware issue,5.0,1590,High
2808,49,Female,Philips Hue Lights,Cancellation request,5.0,1568,High
2809,54,Female,Nest Thermostat,Hardware issue,3.0,1426,Medium
2810,34,Female,Canon EOS,Product recommendation,3.0,1774,Medium
2811,19,Female,Autodesk AutoCAD,Product setup,3.0,1711,Medium
2815,64,Female,Amazon Kindle,Cancellation request,1.0,1840,Low
2817,70,Male,Nest Thermostat,Delivery problem,5.0,1789,High
2818,39,Male,Dyson Vacuum Cleaner,Peripheral compatibility,3.0,1951,Medium
2820,56,Other,Sony Xperia,Hardware issue,5.0,1388,High
2822,52,Male,GoPro Hero,Product setup,2.0,1670,Low
2828,39,Other,Amazon Echo,Battery life,3.0,1439,Medium
2832,56,Male,Canon EOS,Software bug,1.0,1893,Low
2838,52,Female,Canon DSLR Camera,Payment issue,1.0,1722,Low
2839,32,Other,Fitbit Charge,Payment issue,4.0,2036,High
2841,65,Male,Google Nest,Network problem,1.0,1337,Low
2842,39,Male,Nintendo Switch Pro Controller,Peripheral compatibility,4.0,1423,High
2845,37,Other,Canon EOS,Delivery problem,1.0,2024,Low
2847,45,Female,Amazon Echo,Account access,2.0,1873,Low
2849,70,Other,Google Pixel,Cancellation request,3.0,1804,Medium
2853,44,Female,HP Pavilion,Product compatibility,2.0,1629,Low
2854,54,Female,Xbox,Payment issue,5.0,1617,High
2856,27,Female,LG Washing Machine,Data loss,1.0,1316,Low
2859,57,Other,Nikon D,Product recommendation,5.0,1506,High
2862,22,Male,Dyson Vacuum Cleaner,Battery life,1.0,1653,Low
2871,42,Other,iPhone,Payment issue,5.0,1694,High
2874,34,Other,iPhone,Refund request,4.0,1950,High
2877,42,Other,Fitbit Versa Smartwatch,Display issue,1.0,1915,Low
2880,50,Male,LG Smart TV,Hardware issue,4.0,1847,High
2883,56,Female,Roomba Robot Vacuum,Cancellation request,2.0,1675,Low
2889,60,Male,Nintendo Switch Pro Controller,Hardware issue,5.0,1919,High
2892,54,Male,Sony 4K HDR TV,Network problem,1.0,1511,Low
2900,56,Other,Microsoft Office,Account access,1.0,1405,Low
2903,64,Female,Dyson Vacuum Cleaner,Peripheral compatibility,5.0,1413,High
2904,52,Male,Google Nest,Battery life,2.0,1817,Low
2908,51,Other,Canon EOS,Product recommendation,4.0,2008,High
2910,36,Other,Asus ROG,Network problem,2.0,1442,Low
2913,70,Female,Bose QuietComfort,Data loss,1.0,1370,Low
2914,40,Female,Fitbit Charge,Battery life,4.0,1820,High
2917,51,Other,Philips Hue Lights,Product setup,1.0,1923,Low
2919,70,Other,PlayStation,Installation support,3.0,1936,Medium
2921,42,Female,Nikon D,Installation support,2.0,1693,Low
2927,69,Female,iPhone,Hardware issue,2.0,1416,Low
2928,64,Other,iPhone,Battery life,2.0,1514,Low
2929,66,Male,Nintendo Switch Pro Controller,Peripheral compatibility,3.0,1605,Medium
2933,44,Other,Samsung Soundbar,Account access,4.0,1403,High
2934,50,Female,GoPro Hero,Data loss,5.0,1743,High
2937,20,Female,Canon EOS,Network problem,4.0,1783,High
2938,34,Male,Google Nest,Installation support,3.0,1406,Medium
2946,39,Other,Microsoft Xbox Controller,Network problem,1.0,1795,Low
2954,60,Male,Philips Hue Lights,Account access,1.0,1464,Low
2955,43,Male,Apple AirPods,Installation support,1.0,1929,Low
2966,60,Male,Microsoft Office,Refund request,4.0,1750,High
2967,18,Other,Canon DSLR Camera,Account access,2.0,1770,Low
2968,45,Female,Sony 4K HDR TV,Account access,5.0,1740,High
2969,33,Other,GoPro Action Camera,Product compatibility,2.0,1796,Low
2974,52,Male,Microsoft Office,Battery life,1.0,2001,Low
2975,66,Other,Canon DSLR Camera,Installation support,3.0,1518,Medium
2984,49,Other,Amazon Echo,Cancellation request,1.0,1598,Low
2987,34,Female,Roomba Robot Vacuum,Software bug,4.0,1903,High
2988,50,Female,Canon EOS,Cancellation request,2.0,1745,Low
2992,57,Other,Amazon Kindle,Installation support,4.0,1348,High
2995,63,Female,Apple AirPods,Product compatibility,4.0,1952,High
2999,44,Female,Nikon D,Hardware issue,5.0,1978,High
3000,34,Other,Lenovo ThinkPad,Battery life,5.0,1926,High
3001,26,Female,LG Washing Machine,Data loss,4.0,1837,High
3005,28,Female,LG Washing Machine,Refund request,1.0,1600,Low
3007,44,Male,Xbox,Cancellation request,1.0,1707,Low
3008,41,Female,PlayStation,Hardware issue,5.0,1505,High
3011,27,Female,Canon DSLR Camera,Payment issue,4.0,1937,High
3012,43,Male,Roomba Robot Vacuum,Payment issue,5.0,2001,High
3013,24,Male,Nintendo Switch,Software bug,5.0,1613,High
3014,69,Female,Microsoft Surface,Data loss,5.0,1947,High
3019,42,Female,Bose SoundLink Speaker,Software bug,2.0,2038,Low
3021,64,Female,MacBook Pro,Installation support,5.0,1446,High
3022,67,Other,Asus ROG,Payment issue,1.0,1978,Low
3029,67,Female,Google Nest,Network problem,5.0,1404,High
3030,29,Male,Amazon Echo,Product recommendation,4.0,1723,High
3031,38,Male,Amazon Echo,Hardware issue,5.0,1808,High
3033,21,Female,Amazon Echo,Peripheral compatibility,1.0,2029,Low
3034,65,Other,Roomba Robot Vacuum,Network problem,5.0,1513,High
3036,34,Female,LG Washing Machine,Product recommendation,1.0,1874,Low
3040,42,Female,Nikon D,Product recommendation,3.0,1727,Medium
3041,57,Male,iPhone,Product compatibility,2.0,1917,Low
3044,42,Male,Lenovo ThinkPad,Account access,4.0,1571,High
3045,34,Male,iPhone,Peripheral compatibility,1.0,2003,Low
3048,61,Female,Fitbit Versa Smartwatch,Product setup,2.0,1942,Low
3050,62,Other,Fitbit Charge,Installation support,2.0,1947,Low
3052,34,Female,LG OLED,Product setup,1.0,2038,Low
3054,31,Female,Fitbit Versa Smartwatch,Payment issue,2.0,1610,Low
3059,52,Male,Sony 4K HDR TV,Product setup,2.0,1460,Low
3062,59,Male,Fitbit Charge,Software bug,4.0,1981,High
3063,34,Female,Canon EOS,Installation support,5.0,1709,High
3065,41,Male,Samsung Soundbar,Cancellation request,5.0,1585,High
3066,62,Female,Microsoft Surface,Installation support,1.0,1931,Low
3069,34,Other,Microsoft Office,Product compatibility,3.0,1720,Medium
3070,41,Female,Sony PlayStation,Data loss,4.0,1789,High
3074,42,Female,iPhone,Product compatibility,1.0,1442,Low
3075,42,Female,LG Smart TV,Product compatibility,1.0,1667,Low
3078,28,Male,Canon DSLR Camera,Product compatibility,2.0,1455,Low
3080,25,Male,Canon DSLR Camera,Hardware issue,5.0,1872,High
3090,68,Other,Canon DSLR Camera,Delivery problem,3.0,1975,Medium
3093,52,Other,HP Pavilion,Refund request,3.0,1545,Medium
3097,35,Other,Samsung Galaxy,Payment issue,3.0,1713,Medium
3099,19,Male,Google Pixel,Account access,2.0,1945,Low
3101,36,Female,Fitbit Versa Smartwatch,Installation support,3.0,1699,Medium
3105,39,Other,Samsung Soundbar,Product compatibility,4.0,1872,High
3113,38,Female,Samsung Soundbar,Account access,2.0,1467,Low
3115,20,Female,Nest Thermostat,Product recommendation,2.0,1390,Low
3116,21,Male,Microsoft Surface,Product compatibility,2.0,1590,Low
3121,32,Other,Microsoft Surface,Battery life,4.0,1572,High
3122,31,Male,LG OLED,Installation support,5.0,1853,High
3123,61,Female,Canon EOS,Refund request,3.0,1612,Medium
3130,70,Other,Google Pixel,Cancellation request,5.0,2008,High
3131,54,Female,Fitbit Charge,Software bug,1.0,1469,Low
3132,27,Other,HP Pavilion,Battery life,3.0,1974,Medium
3136,18,Female,Philips Hue Lights,Payment issue,1.0,1494,Low
3137,42,Male,HP Pavilion,Installation support,2.0,1611,Low
3140,32,Male,GoPro Action Camera,Battery life,4.0,1983,High
3142,36,Male,Philips Hue Lights,Display issue,2.0,1437,Low
3144,36,Female,Microsoft Office,Software bug,4.0,2025,High
3146,45,Male,Sony Xperia,Payment issue,1.0,1428,Low
3151,19,Other,Adobe Photoshop,Software bug,5.0,1541,High
3154,52,Other,Microsoft Xbox Controller,Installation support,2.0,1703,Low
3156,50,Female,Amazon Echo,Product compatibility,2.0,1978,Low
3157,36,Male,Google Nest,Product recommendation,5.0,1521,High
3170,60,Male,Nest Thermostat,Cancellation request,5.0,1632,High
3172,52,Female,iPhone,Hardware issue,1.0,1475,Low
3178,21,Other,Amazon Kindle,Account access,1.0,1992,Low
3179,50,Other,Samsung Soundbar,Display issue,2.0,1872,Low
3181,25,Other,Nikon D,Peripheral compatibility,2.0,1721,Low
3182,55,Other,iPhone,Refund request,5.0,1955,High
3185,55,Female,Bose SoundLink Speaker,Hardware issue,2.0,1378,Low
3187,49,Female,PlayStation,Account access,1.0,1465,Low
3188,35,Male,Fitbit Versa Smartwatch,Refund request,1.0,1476,Low
3191,44,Male,Sony Xperia,Installation support,2.0,1854,Low
3194,30,Female,Samsung Soundbar,Battery life,1.0,1890,Low
3196,62,Female,Nintendo Switch Pro Controller,Account access,3.0,1784,Medium
3197,40,Male,Samsung Galaxy,Cancellation request,2.0,1414,Low
3208,58,Female,Autodesk AutoCAD,Hardware issue,2.0,1981,Low
3209,40,Female,Nintendo Switch Pro Controller,Hardware issue,4.0,1452,High
3210,23,Other,Dyson Vacuum Cleaner,Refund request,1.0,1581,Low
3212,41,Male,Apple AirPods,Refund request,1.0,2010,Low
3215,51,Male,Google Pixel,Account access,2.0,1746,Low
3222,57,Other,Amazon Echo,Payment issue,4.0,1939,High
3225,19,Female,Amazon Kindle,Hardware issue,4.0,1645,High
3229,59,Other,Microsoft Surface,Product compatibility,2.0,1546,Low
3234,51,Other,Amazon Kindle,Data loss,5.0,1759,High
3242,37,Female,Dell XPS,Network problem,4.0,1950,High
3243,58,Female,Nikon D,Refund request,1.0,1439,Low
3244,44,Other,MacBook Pro,Account access,4.0,1910,High
3245,18,Female,Nintendo Switch Pro Controller,Delivery problem,2.0,1682,Low
3250,42,Other,Philips Hue Lights,Payment issue,5.0,1743,High
3251,29,Male,Xbox,Account access,3.0,1489,Medium
3255,58,Female,Dyson Vacuum Cleaner,Battery life,2.0,1650,Low
3258,46,Other,Nest Thermostat,Product compatibility,2.0,1784,Low
3261,58,Female,Bose SoundLink Speaker,Display issue,4.0,1651,High
3263,29,Female,LG Smart TV,Installation support,2.0,1728,Low
3267,55,Male,Microsoft Surface,Peripheral compatibility,2.0,1817,Low
3271,53,Female,Canon EOS,Product setup,3.0,1759,Medium
3273,27,Female,HP Pavilion,Cancellation request,2.0,1684,Low
3275,58,Female,Sony PlayStation,Product compatibility,4.0,1882,High
3280,64,Female,Nintendo Switch,Product recommendation,3.0,2036,Medium
3284,50,Male,Garmin Forerunner,Product compatibility,1.0,1817,Low
3285,58,Female,Philips Hue Lights,Delivery problem,1.0,1796,Low
3289,39,Other,Roomba Robot Vacuum,Payment issue,1.0,1384,Low
3291,63,Male,GoPro Hero,Account access,4.0,1791,High
3292,43,Female,Samsung Galaxy,Payment issue,5.0,1351,High
3293,34,Male,Canon EOS,Display issue,5.0,1861,High
3297,63,Other,Sony 4K HDR TV,Product recommendation,4.0,1994,High
3298,55,Other,Amazon Echo,Payment issue,4.0,1415,High
3302,66,Female,Nintendo Switch,Display issue,4.0,2022,High
3303,60,Male,Sony Xperia,Product recommendation,3.0,1604,Medium
3311,36,Male,Apple AirPods,Data loss,1.0,1388,Low
3313,24,Female,Canon EOS,Display issue,3.0,1844,Medium
3315,36,Female,GoPro Action Camera,Product setup,3.0,1490,Medium
3317,68,Male,Microsoft Xbox Controller,Refund request,2.0,1717,Low
3321,19,Other,Sony 4K HDR TV,Product recommendation,3.0,1855,Medium
3327,70,Female,Microsoft Office,Data loss,5.0,1715,High
3329,19,Other,Xbox,Cancellation request,3.0,1931,Medium
3334,42,Female,Bose SoundLink Speaker,Cancellation request,4.0,1786,High
3335,52,Other,Canon DSLR Camera,Product setup,1.0,2034,Low
3336,23,Other,Adobe Photoshop,Product setup,4.0,1759,High
3338,31,Female,Apple AirPods,Product compatibility,4.0,1968,High
3340,40,Male,Apple AirPods,Account access,3.0,1448,Medium
3346,65,Male,Autodesk AutoCAD,Installation support,3.0,1618,Medium
3348,65,Other,Sony Xperia,Product recommendation,3.0,1860,Medium
3350,18,Male,Fitbit Charge,Battery life,5.0,1721,High
3352,65,Male,Asus ROG,Peripheral compatibility,4.0,1875,High
3355,52,Female,Philips Hue Lights,Battery life,1.0,1676,Low
3359,35,Female,Amazon Kindle,Refund request,3.0,1370,Medium
3361,62,Other,Nintendo Switch Pro Controller,Product recommendation,5.0,1874,High
3362,26,Male,Microsoft Office,Hardware issue,1.0,1899,Low
3365,55,Male,Fitbit Versa Smartwatch,Product recommendation,1.0,1929,Low
3369,57,Other,Nintendo Switch,Product setup,2.0,1352,Low
3370,34,Female,Microsoft Xbox Controller,Data loss,2.0,1763,Low
3374,47,Other,Amazon Kindle,Account access,1.0,1639,Low
3376,48,Female,LG OLED,Data loss,1.0,1937,Low
3378,27,Male,Samsung Soundbar,Product compatibility,3.0,1422,Medium
3379,35,Other,Samsung Galaxy,Delivery problem,4.0,1332,High
3381,65,Male,Nest Thermostat,Cancellation request,1.0,1634,Low
3382,57,Other,Adobe Photoshop,Refund request,1.0,1741,Low
3384,23,Female,Dyson Vacuum Cleaner,Software bug,4.0,1648,High
3387,62,Male,GoPro Action Camera,Hardware issue,4.0,1891,High
3389,53,Other,Amazon Kindle,Cancellation request,4.0,1830,High
3390,57,Male,Apple AirPods,Peripheral compatibility,2.0,1697,Low
3392,56,Other,Canon DSLR Camera,Product setup,4.0,2031,High
3395,65,Female,Fitbit Charge,Delivery problem,1.0,1547,Low
3397,49,Male,LG Washing Machine,Delivery problem,2.0,1549,Low
3398,60,Female,Google Pixel,Product recommendation,3.0,1702,Medium
3399,53,Other,Nintendo Switch,Data loss,1.0,1488,Low
3404,24,Other,Sony PlayStation,Display issue,1.0,1445,Low
3407,60,Female,Autodesk AutoCAD,Product setup,2.0,1454,Low
3412,65,Male,Philips Hue Lights,Peripheral compatibility,3.0,1553,Medium
3417,33,Male,LG Washing Machine,Network problem,5.0,1962,High
3420,33,Female,Asus ROG,Product setup,4.0,1685,High
3423,54,Male,GoPro Hero,Installation support,5.0,1539,High
3425,49,Other,LG Smart TV,Peripheral compatibility,5.0,1847,High
3426,42,Male,GoPro Hero,Refund request,3.0,1419,Medium
3432,21,Male,Bose SoundLink Speaker,Data loss,4.0,1989,High
3439,33,Male,HP Pavilion,Product setup,1.0,1394,Low
3443,42,Female,Sony 4K HDR TV,Battery life,5.0,1435,High
3446,69,Other,Sony PlayStation,Peripheral compatibility,3.0,1517,Medium
3459,20,Female,Apple AirPods,Battery life,4.0,1551,High
3460,39,Male,HP Pavilion,Product setup,5.0,1800,High
3466,18,Female,GoPro Hero,Display issue,4.0,1493,High
3470,32,Female,Canon EOS,Installation support,3.0,1900,Medium
3473,54,Other,Samsung Galaxy,Product compatibility,5.0,1962,High
3476,32,Female,Apple AirPods,Data loss,3.0,1604,Medium
3477,34,Other,Nintendo Switch Pro Controller,Payment issue,5.0,1687,High
3478,33,Male,Philips Hue Lights,Software bug,5.0,1513,High
3479,21,Other,Canon EOS,Battery life,1.0,1785,Low
3483,37,Male,Garmin Forerunner,Display issue,5.0,1685,High
3489,33,Other,Bose SoundLink Speaker,Product compatibility,2.0,1984,Low
3505,69,Male,Bose QuietComfort,Payment issue,2.0,1791,Low
3510,29,Male,Microsoft Surface,Display issue,5.0,1826,High
3512,61,Other,Fitbit Charge,Delivery problem,1.0,2019,Low
3513,61,Female,Apple AirPods,Peripheral compatibility,1.0,1527,Low
3518,58,Other,Bose SoundLink Speaker,Payment issue,2.0,1559,Low
3519,50,Male,Autodesk AutoCAD,Product compatibility,5.0,1711,High
3522,63,Male,Google Nest,Data loss,2.0,1513,Low
3523,23,Male,Google Pixel,Network problem,5.0,1920,High
3524,21,Male,Fitbit Charge,Installation support,4.0,2024,High
3526,36,Other,MacBook Pro,Data loss,5.0,1537,High
3527,68,Other,Canon DSLR Camera,Battery life,2.0,1459,Low
3531,21,Male,Bose SoundLink Speaker,Product recommendation,1.0,1666,Low
3533,39,Male,Dell XPS,Product compatibility,1.0,1641,Low
3538,44,Female,Nikon D,Product recommendation,3.0,1481,Medium
3540,54,Female,Sony 4K HDR TV,Account access,5.0,2016,High
3541,65,Other,Google Pixel,Product compatibility,3.0,1551,Medium
3544,34,Male,Bose SoundLink Speaker,Cancellation request,4.0,1689,High
3545,27,Male,Adobe Photoshop,Software bug,3.0,1340,Medium
3548,40,Female,PlayStation,Peripheral compatibility,4.0,1341,High
3551,43,Male,Apple AirPods,Cancellation request,1.0,1897,Low
3553,26,Other,LG OLED,Battery life,5.0,1498,High
3558,60,Male,Sony 4K HDR TV,Refund request,1.0,1947,Low
3560,20,Male,Nest Thermostat,Product setup,5.0,2014,High
3563,22,Female,Bose SoundLink Speaker,Product compatibility,1.0,1438,Low
3568,59,Female,Roomba Robot Vacuum,Network problem,3.0,1928,Medium
3571,54,Female,GoPro Hero,Delivery problem,2.0,1799,Low
3575,38,Male,Sony PlayStation,Product recommendation,5.0,1833,High
3576,33,Other,Microsoft Office,Software bug,4.0,1335,High
3578,30,Other,Microsoft Office,Payment issue,4.0,1845,High
3579,55,Female,Canon DSLR Camera,Cancellation request,3.0,1663,Medium
3581,67,Male,HP Pavilion,Peripheral compatibility,5.0,1924,High
3582,18,Female,Microsoft Xbox Controller,Refund request,4.0,1339,High
3584,61,Female,Roomba Robot Vacuum,Refund request,2.0,1856,Low
3586,41,Other,Xbox,Software bug,5.0,1742,High
3589,37,Female,Amazon Echo,Account access,2.0,1606,Low
3591,62,Other,LG Smart TV,Payment issue,2.0,1730,Low
3594,59,Other,Google Nest,Product compatibility,5.0,1645,High
3598,55,Female,Asus ROG,Product setup,5.0,1998,High
3600,60,Male,Adobe Photoshop,Product setup,5.0,1603,High
3604,36,Male,Microsoft Office,Cancellation request,3.0,1866,Medium
3609,48,Male,PlayStation,Product compatibility,2.0,1786,Low
3617,48,Other,Dell XPS,Battery life,1.0,1436,Low
3621,46,Male,Sony PlayStation,Product setup,3.0,1595,Medium
3623,44,Male,iPhone,Network problem,3.0,1775,Medium
3627,44,Other,LG OLED,Account access,5.0,1502,High
3634,26,Other,Fitbit Versa Smartwatch,Delivery problem,3.0,1369,Medium
3636,44,Other,HP Pavilion,Refund request,1.0,2016,Low
3645,22,Male,GoPro Action Camera,Payment issue,3.0,1969,Medium
3648,65,Male,PlayStation,Peripheral compatibility,3.0,1925,Medium
3649,38,Male,Sony Xperia,Installation support,5.0,1708,High
3651,22,Female,Microsoft Office,Display issue,2.0,1692,Low
3652,18,Male,Philips Hue Lights,Data loss,5.0,1531,High
3654,26,Male,Fitbit Versa Smartwatch,Delivery problem,3.0,1347,Medium
3656,69,Other,Garmin Forerunner,Data loss,3.0,1647,Medium
3657,53,Female,Bose QuietComfort,Product compatibility,1.0,1561,Low
3667,38,Male,Fitbit Charge,Network problem,3.0,1476,Medium
3668,63,Female,Xbox,Delivery problem,2.0,1477,Low
3672,18,Female,Google Pixel,Account access,5.0,1341,High
3673,49,Male,Lenovo ThinkPad,Battery life,4.0,1851,High
3674,34,Other,Amazon Echo,Battery life,3.0,1331,Medium
3675,30,Other,Amazon Kindle,Delivery problem,4.0,1565,High
3680,20,Other,Bose QuietComfort,Product setup,1.0,1821,Low
3681,36,Other,MacBook Pro,Display issue,4.0,1843,High
3692,43,Other,Dell XPS,Data loss,3.0,1699,Medium
3694,21,Female,Nintendo Switch,Battery life,5.0,2042,High
3697,70,Female,Apple AirPods,Payment issue,2.0,1371,Low
3700,47,Male,Nintendo Switch Pro Controller,Account access,5.0,1865,High
3701,59,Other,Bose SoundLink Speaker,Product recommendation,5.0,1780,High
3707,19,Other,Google Pixel,Account access,3.0,1565,Medium
3709,48,Male,Amazon Echo,Cancellation request,3.0,1391,Medium
3719,56,Male,GoPro Action Camera,Network problem,3.0,1390,Medium
3721,53,Other,MacBook Pro,Software bug,4.0,1357,High
3726,58,Female,Microsoft Surface,Payment issue,3.0,1729,Medium
3727,49,Female,Fitbit Versa Smartwatch,Account access,3.0,1410,Medium
3731,69,Male,Philips Hue Lights,Account access,3.0,1877,Medium
3738,67,Female,LG Smart TV,Battery life,1.0,1814,Low
3743,35,Female,Garmin Forerunner,Hardware issue,3.0,1505,Medium
3744,70,Other,Fitbit Charge,Product compatibility,3.0,1784,Medium
3747,67,Other,MacBook Pro,Product compatibility,2.0,1791,Low
3749,67,Other,Amazon Echo,Product recommendation,5.0,1334,High
3750,24,Female,Nest Thermostat,Network problem,1.0,1716,Low
3759,29,Other,Amazon Kindle,Product compatibility,4.0,1707,High
3762,53,Female,iPhone,Data loss,1.0,1842,Low
3765,69,Male,iPhone,Cancellation request,2.0,1403,Low
3769,67,Female,Samsung Galaxy,Hardware issue,3.0,1785,Medium
3770,40,Female,PlayStation,Product setup,2.0,1350,Low
3772,46,Male,Sony 4K HDR TV,Delivery problem,5.0,1994,High
3773,67,Female,Lenovo ThinkPad,Product setup,2.0,1665,Low
3781,18,Female,Google Nest,Product compatibility,3.0,1842,Medium
3786,58,Other,Garmin Forerunner,Battery life,2.0,1992,Low
3788,64,Female,Amazon Echo,Cancellation request,4.0,1838,High
3789,54,Male,Nikon D,Battery life,2.0,1975,Low
3790,69,Male,Microsoft Xbox Controller,Delivery problem,4.0,1677,High
3792,55,Female,Sony Xperia,Network problem,3.0,1564,Medium
3794,24,Male,Fitbit Charge,Product recommendation,1.0,1549,Low
3795,59,Other,Apple AirPods,Product setup,1.0,1844,Low
3798,34,Female,Nintendo Switch Pro Controller,Product recommendation,2.0,1899,Low
3799,18,Other,Google Nest,Display issue,4.0,1667,High
3805,19,Other,Apple AirPods,Installation support,1.0,1931,Low
3810,66,Female,Nest Thermostat,Cancellation request,1.0,1486,Low
3815,58,Female,Asus ROG,Delivery problem,1.0,1446,Low
3819,52,Other,GoPro Hero,Delivery problem,2.0,1758,Low
3821,18,Other,LG OLED,Installation support,3.0,1806,Medium
3824,31,Other,Amazon Kindle,Battery life,2.0,1451,Low
3826,32,Female,Apple AirPods,Product compatibility,3.0,2034,Medium
3827,62,Female,LG Washing Machine,Display issue,3.0,1620,Medium
3829,35,Male,Bose QuietComfort,Product compatibility,5.0,1951,High
3830,63,Male,Nikon D,Display issue,5.0,1588,High
3832,59,Female,GoPro Action Camera,Account access,2.0,1362,Low
3833,43,Other,LG OLED,Display issue,1.0,2028,Low
3834,27,Female,Nest Thermostat,Product compatibility,3.0,1699,Medium
3836,23,Male,Asus ROG,Refund request,2.0,1676,Low
3843,55,Other,Canon EOS,Peripheral compatibility,3.0,1801,Medium
3844,32,Male,Nintendo Switch Pro Controller,Peripheral compatibility,3.0,1382,Medium
3847,31,Female,Google Pixel,Hardware issue,3.0,1874,Medium
3851,40,Male,Canon EOS,Network problem,4.0,1323,High
3853,41,Male,Fitbit Versa Smartwatch,Refund request,2.0,1776,Low
3858,67,Other,Adobe Photoshop,Installation support,3.0,1753,Medium
3859,46,Other,HP Pavilion,Refund request,2.0,1933,Low
3860,65,Male,Sony PlayStation,Cancellation request,2.0,1514,Low
3862,34,Other,Nest Thermostat,Peripheral compatibility,2.0,1536,Low
3863,18,Female,GoPro Action Camera,Hardware issue,2.0,1489,Low
3866,33,Male,LG OLED,Peripheral compatibility,2.0,1783,Low
3867,44,Female,Samsung Soundbar,Product setup,4.0,1859,High
3870,51,Other,Samsung Soundbar,Payment issue,5.0,1989,High
3872,36,Other,Apple AirPods,Product recommendation,2.0,1381,Low
3874,70,Female,Roomba Robot Vacuum,Data loss,4.0,1938,High
3876,53,Female,Canon EOS,Data loss,1.0,1777,Low
3881,49,Female,Fitbit Charge,Delivery problem,5.0,2043,High
3887,62,Male,Lenovo ThinkPad,Hardware issue,2.0,2016,Low
3888,69,Female,Fitbit Charge,Hardware issue,4.0,1804,High
3889,25,Other,Microsoft Office,Delivery problem,1.0,2027,Low
3891,43,Female,Microsoft Xbox Controller,Software bug,1.0,1811,Low
3893,68,Male,Samsung Soundbar,Product recommendation,4.0,1372,High
3895,49,Other,Nintendo Switch,Cancellation request,4.0,1454,High
3897,63,Other,Asus ROG,Product compatibility,1.0,1883,Low
3903,70,Female,Canon DSLR Camera,Delivery problem,1.0,1346,Low
3905,39,Female,Canon EOS,Cancellation request,4.0,1662,High
