,Customer Age,Customer Gender,Product Purchased,Ticket Type,Ticket Subject,Ticket Channel,Customer Satisfaction Rating,Days_Since_Purchase,Satisfaction_Level
4091,54,Female,Garmin Forerunner,Cancellation request,Data loss,Phone,5.0,1379,High
4102,24,Female,GoPro Hero,Refund request,Data loss,Social media,5.0,1695,High
4110,60,Male,Sony 4K HDR TV,Product inquiry,Network problem,Email,4.0,1890,High
4111,56,Other,Canon DSLR Camera,Product inquiry,Data loss,Social media,1.0,1448,Low
4119,41,Male,Sony PlayStation,Product inquiry,Display issue,Phone,5.0,1998,High
4120,26,Other,PlayStation,Cancellation request,Peripheral compatibility,Social media,4.0,2032,High
4122,51,Other,Lenovo ThinkPad,Refund request,Refund request,Email,2.0,1359,Low
4123,46,Other,Sony Xperia,Cancellation request,Peripheral compatibility,Chat,4.0,1456,High
4126,56,Other,Samsung Soundbar,Billing inquiry,Installation support,Social media,3.0,1843,Medium
4128,38,Female,Lenovo ThinkPad,Cancellation request,Hardware issue,Phone,2.0,1526,Low
4130,70,Other,PlayStation,Cancellation request,Data loss,Chat,3.0,1869,Medium
4131,41,Other,Sony PlayStation,Cancellation request,Cancellation request,Email,4.0,1328,High
4133,24,Female,Dyson Vacuum Cleaner,Cancellation request,Product compatibility,Chat,4.0,1924,High
4134,59,Other,Xbox,Technical issue,Product compatibility,Phone,4.0,1834,High
4136,57,Female,Microsoft Office,Billing inquiry,Network problem,Chat,5.0,1940,High
4145,48,Other,Nest Thermostat,Technical issue,Battery life,Phone,1.0,1556,Low
4147,40,Male,Adobe Photoshop,Product inquiry,Software bug,Phone,1.0,1377,Low
4148,61,Female,Microsoft Xbox Controller,Billing inquiry,Refund request,Social media,2.0,1583,Low
4150,69,Other,Xbox,Refund request,Payment issue,Email,2.0,2025,Low
4151,32,Female,Bose QuietComfort,Technical issue,Peripheral compatibility,Phone,4.0,1872,High
4152,39,Female,Bose SoundLink Speaker,Cancellation request,Product setup,Email,1.0,1752,Low
4162,36,Male,Canon DSLR Camera,Product inquiry,Delivery problem,Email,1.0,1418,Low
4167,62,Male,Nintendo Switch,Billing inquiry,Product recommendation,Email,2.0,1549,Low
4169,25,Other,Canon EOS,Refund request,Cancellation request,Chat,5.0,1456,High
4178,27,Female,GoPro Action Camera,Product inquiry,Product setup,Chat,4.0,1693,High
4192,42,Female,Nintendo Switch,Technical issue,Product setup,Chat,3.0,1670,Medium
4200,33,Male,GoPro Hero,Cancellation request,Software bug,Chat,4.0,1891,High
4210,38,Male,Nest Thermostat,Technical issue,Cancellation request,Phone,1.0,1457,Low
4211,28,Other,LG Washing Machine,Product inquiry,Software bug,Phone,1.0,1328,Low
4213,27,Male,LG Washing Machine,Refund request,Software bug,Email,4.0,1805,High
4217,49,Other,Bose QuietComfort,Technical issue,Display issue,Social media,4.0,1789,High
4229,46,Female,Canon DSLR Camera,Product inquiry,Network problem,Email,4.0,1722,High
4231,37,Female,Asus ROG,Cancellation request,Product setup,Social media,3.0,1647,Medium
4233,45,Female,Canon EOS,Refund request,Hardware issue,Social media,1.0,1685,Low
4234,31,Female,Samsung Soundbar,Cancellation request,Product compatibility,Chat,1.0,1469,Low
4235,42,Male,Nintendo Switch,Refund request,Cancellation request,Phone,1.0,1391,Low
4237,35,Male,Dyson Vacuum Cleaner,Cancellation request,Product compatibility,Phone,1.0,1622,Low
4239,48,Female,Asus ROG,Cancellation request,Software bug,Phone,4.0,1357,High
4241,61,Male,Microsoft Office,Billing inquiry,Software bug,Chat,5.0,1571,High
4242,67,Other,Sony Xperia,Cancellation request,Peripheral compatibility,Email,4.0,2032,High
4243,58,Other,Dyson Vacuum Cleaner,Refund request,Account access,Email,1.0,1700,Low
4246,25,Female,Sony PlayStation,Refund request,Cancellation request,Social media,2.0,1365,Low
4253,56,Male,Apple AirPods,Billing inquiry,Data loss,Email,5.0,1606,High
4256,54,Male,Bose QuietComfort,Product inquiry,Data loss,Phone,3.0,1445,Medium
4258,55,Male,LG Washing Machine,Product inquiry,Product setup,Phone,2.0,1371,Low
4264,67,Other,PlayStation,Cancellation request,Installation support,Email,4.0,1874,High
4266,47,Female,Adobe Photoshop,Cancellation request,Product recommendation,Email,4.0,1736,High
4267,58,Female,Nintendo Switch Pro Controller,Technical issue,Software bug,Email,2.0,1888,Low
4268,56,Other,Nikon D,Cancellation request,Display issue,Email,4.0,1931,High
4274,33,Male,Microsoft Surface,Billing inquiry,Product compatibility,Chat,2.0,1832,Low
4281,40,Other,Amazon Kindle,Technical issue,Delivery problem,Chat,2.0,1470,Low
4284,45,Female,Dyson Vacuum Cleaner,Technical issue,Product recommendation,Phone,3.0,1741,Medium
4287,42,Female,LG Smart TV,Technical issue,Data loss,Chat,4.0,1400,High
4291,20,Female,HP Pavilion,Billing inquiry,Account access,Email,3.0,1424,Medium
4301,60,Other,Autodesk AutoCAD,Product inquiry,Software bug,Social media,3.0,1689,Medium
4304,41,Male,Fitbit Versa Smartwatch,Billing inquiry,Product recommendation,Chat,1.0,1961,Low
4310,47,Male,Nikon D,Cancellation request,Display issue,Phone,4.0,1766,High
4314,18,Female,MacBook Pro,Product inquiry,Installation support,Email,2.0,2012,Low
4323,45,Other,Bose QuietComfort,Technical issue,Refund request,Social media,3.0,2022,Medium
4333,46,Male,Canon EOS,Billing inquiry,Display issue,Social media,5.0,1481,High
4335,46,Male,Sony Xperia,Cancellation request,Display issue,Email,2.0,1316,Low
4336,61,Male,Philips Hue Lights,Product inquiry,Network problem,Chat,3.0,1486,Medium
4339,57,Other,LG OLED,Technical issue,Product recommendation,Chat,4.0,1619,High
4342,48,Male,LG Smart TV,Refund request,Cancellation request,Chat,5.0,1765,High
4351,58,Female,Google Pixel,Cancellation request,Product recommendation,Phone,5.0,1785,High
4354,55,Other,Microsoft Office,Billing inquiry,Installation support,Chat,3.0,1943,Medium
4356,31,Male,Nintendo Switch,Cancellation request,Data loss,Email,3.0,1338,Medium
4360,68,Female,Adobe Photoshop,Cancellation request,Battery life,Phone,1.0,1850,Low
4367,53,Male,Amazon Echo,Product inquiry,Delivery problem,Social media,4.0,1993,High
4374,40,Female,Bose SoundLink Speaker,Billing inquiry,Network problem,Social media,5.0,1397,High
4377,63,Male,Autodesk AutoCAD,Product inquiry,Delivery problem,Phone,3.0,1920,Medium
4378,46,Male,Lenovo ThinkPad,Billing inquiry,Product compatibility,Chat,4.0,1827,High
4379,24,Female,Sony 4K HDR TV,Billing inquiry,Refund request,Email,4.0,1921,High
4382,28,Female,Nintendo Switch Pro Controller,Billing inquiry,Product setup,Email,2.0,1957,Low
4383,49,Other,Sony 4K HDR TV,Billing inquiry,Network problem,Phone,5.0,1747,High
4385,67,Other,Dyson Vacuum Cleaner,Billing inquiry,Refund request,Email,4.0,1763,High
4388,27,Female,Sony Xperia,Cancellation request,Installation support,Social media,4.0,1769,High
4390,65,Male,MacBook Pro,Billing inquiry,Delivery problem,Chat,3.0,1766,Medium
4398,27,Female,LG Washing Machine,Refund request,Product recommendation,Social media,5.0,1675,High
4399,53,Female,Canon DSLR Camera,Refund request,Account access,Phone,4.0,1628,High
4400,69,Other,Nintendo Switch,Product inquiry,Product recommendation,Chat,1.0,1640,Low
4404,19,Other,LG Smart TV,Product inquiry,Software bug,Chat,2.0,2033,Low
4408,48,Male,Adobe Photoshop,Cancellation request,Peripheral compatibility,Chat,3.0,1804,Medium
4410,63,Female,GoPro Action Camera,Technical issue,Product setup,Email,3.0,1829,Medium
4412,61,Male,Philips Hue Lights,Refund request,Refund request,Email,2.0,1500,Low
4415,43,Male,Dell XPS,Refund request,Peripheral compatibility,Phone,3.0,1845,Medium
4417,56,Female,Sony Xperia,Refund request,Delivery problem,Email,5.0,1907,High
4420,65,Other,Sony Xperia,Technical issue,Software bug,Chat,2.0,1645,Low
4423,31,Female,Microsoft Xbox Controller,Cancellation request,Installation support,Social media,2.0,1702,Low
4424,42,Female,MacBook Pro,Product inquiry,Account access,Social media,3.0,1516,Medium
4425,45,Male,HP Pavilion,Billing inquiry,Installation support,Chat,2.0,1953,Low
4426,56,Female,Microsoft Surface,Technical issue,Refund request,Chat,5.0,1662,High
4432,58,Other,Nintendo Switch,Technical issue,Payment issue,Social media,1.0,1874,Low
4433,37,Male,LG Washing Machine,Technical issue,Installation support,Chat,4.0,2041,High
4437,19,Male,Samsung Galaxy,Product inquiry,Software bug,Phone,1.0,1386,Low
4439,48,Female,Bose QuietComfort,Product inquiry,Network problem,Chat,4.0,1841,High
4442,24,Male,Fitbit Charge,Billing inquiry,Product setup,Email,2.0,2015,Low
4452,45,Male,Canon DSLR Camera,Billing inquiry,Battery life,Phone,5.0,1372,High
4453,48,Male,Dell XPS,Cancellation request,Refund request,Email,1.0,1470,Low
4457,66,Female,Samsung Soundbar,Product inquiry,Payment issue,Email,1.0,1964,Low
4459,56,Other,GoPro Hero,Technical issue,Product compatibility,Social media,5.0,2044,High
4462,66,Other,LG OLED,Product inquiry,Product compatibility,Email,3.0,1468,Medium
4464,69,Male,LG Smart TV,Billing inquiry,Hardware issue,Email,4.0,1926,High
4473,21,Male,Google Nest,Technical issue,Hardware issue,Email,1.0,1524,Low
4475,60,Male,Canon DSLR Camera,Product inquiry,Data loss,Social media,1.0,1596,Low
4477,21,Male,Adobe Photoshop,Product inquiry,Refund request,Chat,2.0,1632,Low
4480,20,Other,Microsoft Surface,Technical issue,Hardware issue,Chat,5.0,1413,High
4481,27,Female,Microsoft Office,Refund request,Product compatibility,Email,5.0,1935,High
4484,18,Male,Autodesk AutoCAD,Technical issue,Cancellation request,Social media,1.0,1696,Low
4490,32,Other,GoPro Action Camera,Technical issue,Network problem,Phone,2.0,1774,Low
4492,49,Male,Canon EOS,Product inquiry,Data loss,Phone,1.0,1728,Low
4495,26,Female,Nikon D,Refund request,Refund request,Social media,4.0,1613,High
4496,56,Female,Roomba Robot Vacuum,Technical issue,Delivery problem,Email,3.0,1505,Medium
4497,67,Other,Samsung Soundbar,Product inquiry,Software bug,Email,5.0,1375,High
4500,61,Male,Microsoft Office,Billing inquiry,Installation support,Email,4.0,1611,High
4503,51,Female,Dell XPS,Billing inquiry,Refund request,Chat,4.0,2045,High
4504,52,Female,Nest Thermostat,Product inquiry,Peripheral compatibility,Phone,3.0,1584,Medium
4505,58,Female,Nintendo Switch,Refund request,Payment issue,Social media,1.0,1359,Low
4506,69,Other,Autodesk AutoCAD,Product inquiry,Hardware issue,Chat,2.0,1431,Low
4511,31,Male,Bose QuietComfort,Technical issue,Peripheral compatibility,Phone,5.0,1355,High
4512,51,Male,GoPro Hero,Cancellation request,Refund request,Email,2.0,1986,Low
4513,29,Female,Sony PlayStation,Refund request,Software bug,Phone,5.0,1471,High
4516,43,Female,GoPro Action Camera,Product inquiry,Product recommendation,Email,1.0,1765,Low
4517,67,Male,Philips Hue Lights,Billing inquiry,Account access,Chat,3.0,1999,Medium
4518,41,Male,Microsoft Surface,Cancellation request,Network problem,Social media,1.0,1566,Low
4524,63,Male,Adobe Photoshop,Cancellation request,Cancellation request,Chat,4.0,1886,High
4525,18,Male,HP Pavilion,Refund request,Product compatibility,Email,4.0,1964,High
4528,63,Female,Fitbit Versa Smartwatch,Billing inquiry,Installation support,Email,5.0,1956,High
4529,26,Female,MacBook Pro,Technical issue,Network problem,Social media,3.0,1503,Medium
4530,63,Male,Fitbit Charge,Refund request,Peripheral compatibility,Email,4.0,1945,High
4532,61,Female,Sony 4K HDR TV,Product inquiry,Network problem,Social media,4.0,1359,High
4540,66,Female,Nintendo Switch Pro Controller,Refund request,Battery life,Social media,1.0,1323,Low
4544,19,Other,Canon EOS,Technical issue,Delivery problem,Email,3.0,1602,Medium
4549,48,Female,Canon DSLR Camera,Cancellation request,Installation support,Phone,5.0,1686,High
4550,28,Other,GoPro Action Camera,Billing inquiry,Hardware issue,Chat,1.0,1956,Low
4558,47,Other,Garmin Forerunner,Product inquiry,Installation support,Social media,4.0,1755,High
4561,57,Male,Google Nest,Refund request,Delivery problem,Email,4.0,1901,High
4564,61,Other,Canon DSLR Camera,Product inquiry,Data loss,Social media,5.0,1751,High
4571,52,Male,Xbox,Cancellation request,Hardware issue,Email,5.0,1880,High
4572,41,Other,Sony PlayStation,Cancellation request,Peripheral compatibility,Social media,1.0,1453,Low
4573,62,Male,Samsung Soundbar,Technical issue,Software bug,Phone,3.0,1557,Medium
4576,51,Other,Fitbit Versa Smartwatch,Billing inquiry,Software bug,Phone,3.0,1566,Medium
4577,47,Male,Fitbit Charge,Product inquiry,Product compatibility,Social media,3.0,1587,Medium
4580,60,Other,Autodesk AutoCAD,Product inquiry,Product setup,Phone,5.0,1580,High
4582,29,Other,Amazon Kindle,Billing inquiry,Product compatibility,Chat,5.0,1645,High
4584,59,Female,Nikon D,Cancellation request,Peripheral compatibility,Email,4.0,1554,High
4589,23,Female,iPhone,Refund request,Software bug,Phone,4.0,1944,High
4590,62,Other,Microsoft Office,Refund request,Battery life,Social media,4.0,1628,High
4591,34,Male,Fitbit Charge,Technical issue,Battery life,Phone,5.0,1440,High
4592,49,Female,Fitbit Charge,Cancellation request,Delivery problem,Phone,5.0,1915,High
4593,49,Male,Nest Thermostat,Technical issue,Battery life,Social media,5.0,1767,High
4595,56,Female,Samsung Galaxy,Refund request,Network problem,Email,5.0,1454,High
4600,42,Male,Canon DSLR Camera,Billing inquiry,Hardware issue,Email,5.0,1395,High
4601,19,Female,Apple AirPods,Billing inquiry,Peripheral compatibility,Chat,3.0,1365,Medium
4602,26,Female,Microsoft Xbox Controller,Cancellation request,Delivery problem,Social media,5.0,1690,High
4606,65,Male,Microsoft Xbox Controller,Refund request,Display issue,Chat,1.0,1451,Low
4611,51,Female,Garmin Forerunner,Refund request,Software bug,Social media,4.0,1617,High
4614,18,Other,Roomba Robot Vacuum,Product inquiry,Peripheral compatibility,Social media,1.0,1711,Low
4615,39,Other,Apple AirPods,Product inquiry,Product recommendation,Chat,3.0,1538,Medium
4616,66,Other,Fitbit Charge,Product inquiry,Product setup,Chat,3.0,1499,Medium
4619,49,Female,HP Pavilion,Refund request,Account access,Chat,5.0,1837,High
4620,34,Female,Samsung Soundbar,Technical issue,Software bug,Phone,2.0,1821,Low
4621,29,Female,Samsung Soundbar,Refund request,Software bug,Chat,3.0,2031,Medium
4627,19,Female,Bose SoundLink Speaker,Product inquiry,Product setup,Social media,4.0,1666,High
4632,40,Male,Fitbit Versa Smartwatch,Product inquiry,Peripheral compatibility,Phone,4.0,1955,High
4634,68,Other,Dell XPS,Refund request,Cancellation request,Email,5.0,1578,High
4642,24,Other,Philips Hue Lights,Product inquiry,Product recommendation,Chat,3.0,1575,Medium
4649,22,Other,Fitbit Charge,Cancellation request,Refund request,Social media,5.0,1721,High
4652,57,Male,HP Pavilion,Billing inquiry,Delivery problem,Email,2.0,1583,Low
4655,48,Other,iPhone,Product inquiry,Product compatibility,Chat,3.0,1763,Medium
4663,37,Other,GoPro Action Camera,Billing inquiry,Network problem,Social media,5.0,1345,High
4664,66,Other,Sony Xperia,Refund request,Data loss,Chat,1.0,1912,Low
4665,27,Male,Sony 4K HDR TV,Billing inquiry,Software bug,Chat,5.0,1342,High
4669,48,Male,Garmin Forerunner,Billing inquiry,Cancellation request,Phone,4.0,1674,High
4674,59,Male,Amazon Kindle,Product inquiry,Product recommendation,Chat,2.0,1470,Low
4675,70,Female,PlayStation,Cancellation request,Software bug,Phone,4.0,1824,High
4676,66,Female,Nintendo Switch,Cancellation request,Installation support,Email,5.0,1541,High
4685,52,Male,Nest Thermostat,Product inquiry,Refund request,Phone,3.0,1405,Medium
4688,28,Other,Dyson Vacuum Cleaner,Billing inquiry,Network problem,Phone,1.0,1553,Low
4689,49,Female,Canon EOS,Technical issue,Delivery problem,Phone,1.0,1870,Low
4692,35,Female,GoPro Hero,Cancellation request,Refund request,Chat,3.0,1406,Medium
4695,56,Other,Google Pixel,Cancellation request,Product recommendation,Social media,3.0,1879,Medium
4696,37,Other,Asus ROG,Cancellation request,Peripheral compatibility,Phone,5.0,1662,High
4700,54,Male,Microsoft Xbox Controller,Billing inquiry,Hardware issue,Social media,3.0,1632,Medium
4701,29,Female,GoPro Hero,Cancellation request,Data loss,Chat,3.0,1540,Medium
4703,49,Female,LG OLED,Technical issue,Refund request,Chat,1.0,1801,Low
4704,54,Other,Xbox,Refund request,Product compatibility,Chat,3.0,1653,Medium
4705,32,Male,Nikon D,Cancellation request,Installation support,Chat,5.0,1329,High
4708,24,Other,Bose QuietComfort,Billing inquiry,Product compatibility,Chat,1.0,1588,Low
4710,18,Male,iPhone,Product inquiry,Installation support,Email,3.0,1342,Medium
4711,36,Male,Adobe Photoshop,Technical issue,Data loss,Email,1.0,1452,Low
4714,67,Other,Google Pixel,Billing inquiry,Network problem,Email,5.0,1632,High
4717,21,Female,HP Pavilion,Refund request,Network problem,Social media,5.0,1930,High
4721,34,Other,Philips Hue Lights,Technical issue,Network problem,Email,2.0,1610,Low
4724,26,Other,Garmin Forerunner,Technical issue,Peripheral compatibility,Email,1.0,2037,Low
4729,33,Other,Sony 4K HDR TV,Refund request,Delivery problem,Phone,4.0,1321,High
4733,56,Other,iPhone,Refund request,Product recommendation,Email,5.0,1793,High
4735,41,Male,Bose SoundLink Speaker,Technical issue,Peripheral compatibility,Email,3.0,2014,Medium
4737,67,Female,Amazon Echo,Billing inquiry,Battery life,Email,2.0,2025,Low
4743,66,Female,Sony 4K HDR TV,Product inquiry,Data loss,Phone,2.0,1829,Low
4745,30,Male,Sony Xperia,Technical issue,Refund request,Email,1.0,1873,Low
4746,37,Other,Fitbit Versa Smartwatch,Refund request,Hardware issue,Phone,2.0,1951,Low
4748,24,Male,GoPro Action Camera,Product inquiry,Network problem,Phone,1.0,1827,Low
4752,19,Female,LG Smart TV,Product inquiry,Product recommendation,Phone,4.0,1588,High
4765,61,Male,Fitbit Charge,Refund request,Refund request,Chat,4.0,1794,High
4766,51,Other,Dell XPS,Technical issue,Installation support,Phone,3.0,1401,Medium
4767,51,Male,Adobe Photoshop,Billing inquiry,Display issue,Email,3.0,1863,Medium
4769,51,Female,Dyson Vacuum Cleaner,Product inquiry,Display issue,Social media,4.0,1323,High
4770,49,Male,Adobe Photoshop,Refund request,Payment issue,Phone,1.0,1656,Low
4773,49,Male,Adobe Photoshop,Technical issue,Installation support,Phone,1.0,1431,Low
4774,24,Male,Microsoft Office,Cancellation request,Software bug,Email,5.0,1577,High
4777,61,Other,Nest Thermostat,Technical issue,Installation support,Phone,5.0,1783,High
4778,48,Male,HP Pavilion,Technical issue,Product recommendation,Chat,1.0,1483,Low
4783,28,Female,Nest Thermostat,Refund request,Cancellation request,Chat,3.0,1820,Medium
4802,38,Male,MacBook Pro,Refund request,Network problem,Chat,4.0,1524,High
4804,44,Other,HP Pavilion,Cancellation request,Installation support,Email,4.0,1873,High
4815,24,Male,Adobe Photoshop,Refund request,Account access,Phone,1.0,2006,Low
4816,24,Female,Fitbit Charge,Cancellation request,Payment issue,Email,2.0,1951,Low
4817,25,Female,HP Pavilion,Refund request,Hardware issue,Social media,5.0,1698,High
4820,70,Female,Microsoft Xbox Controller,Cancellation request,Cancellation request,Social media,1.0,1985,Low
4825,52,Other,GoPro Action Camera,Technical issue,Software bug,Phone,4.0,1693,High
4831,20,Other,Samsung Soundbar,Cancellation request,Battery life,Phone,2.0,1373,Low
4832,40,Other,Fitbit Charge,Product inquiry,Payment issue,Email,5.0,1467,High
4834,67,Male,Bose QuietComfort,Cancellation request,Payment issue,Email,3.0,1555,Medium
4841,59,Other,Bose SoundLink Speaker,Cancellation request,Hardware issue,Phone,3.0,1573,Medium
4842,61,Female,GoPro Hero,Product inquiry,Product compatibility,Phone,4.0,1797,High
4849,56,Other,LG OLED,Product inquiry,Payment issue,Chat,1.0,1644,Low
4857,18,Male,Bose SoundLink Speaker,Cancellation request,Delivery problem,Chat,1.0,1574,Low
4865,20,Other,PlayStation,Technical issue,Payment issue,Email,5.0,1534,High
4869,51,Male,Garmin Forerunner,Billing inquiry,Refund request,Social media,2.0,1382,Low
4870,28,Other,Xbox,Product inquiry,Hardware issue,Phone,3.0,1632,Medium
4873,35,Male,Fitbit Charge,Billing inquiry,Product recommendation,Phone,4.0,1860,High
4874,23,Other,Samsung Soundbar,Billing inquiry,Data loss,Email,1.0,1323,Low
4877,64,Male,Canon EOS,Billing inquiry,Product compatibility,Email,1.0,1797,Low
4882,48,Other,Adobe Photoshop,Refund request,Product setup,Chat,3.0,1764,Medium
4883,27,Female,Samsung Galaxy,Refund request,Software bug,Email,3.0,1416,Medium
4884,52,Female,Roomba Robot Vacuum,Technical issue,Product compatibility,Social media,2.0,1353,Low
4889,30,Female,Sony Xperia,Cancellation request,Product recommendation,Social media,1.0,1627,Low
4890,55,Other,Xbox,Technical issue,Peripheral compatibility,Email,1.0,1865,Low
4891,27,Female,Nikon D,Refund request,Hardware issue,Chat,4.0,1865,High
4894,62,Other,Lenovo ThinkPad,Refund request,Product recommendation,Email,3.0,1578,Medium
4897,66,Male,Microsoft Xbox Controller,Product inquiry,Display issue,Social media,3.0,1415,Medium
4901,65,Male,Samsung Galaxy,Cancellation request,Hardware issue,Social media,3.0,1559,Medium
4902,47,Female,HP Pavilion,Refund request,Data loss,Email,5.0,1911,High
4908,63,Female,Philips Hue Lights,Refund request,Account access,Phone,2.0,1557,Low
4909,42,Other,Nikon D,Refund request,Account access,Phone,2.0,1846,Low
4913,26,Other,GoPro Hero,Product inquiry,Display issue,Email,2.0,1519,Low
4915,66,Female,Fitbit Versa Smartwatch,Billing inquiry,Software bug,Chat,4.0,1404,High
4919,23,Female,Google Pixel,Product inquiry,Network problem,Social media,2.0,1330,Low
4923,50,Female,Samsung Galaxy,Billing inquiry,Product setup,Chat,4.0,1723,High
4929,29,Male,Microsoft Office,Refund request,Product compatibility,Chat,1.0,1709,Low
4930,38,Male,iPhone,Product inquiry,Product recommendation,Social media,4.0,1987,High
4933,41,Other,Canon EOS,Technical issue,Product compatibility,Chat,4.0,1934,High
4938,53,Male,HP Pavilion,Technical issue,Account access,Social media,4.0,1752,High
4939,56,Other,PlayStation,Billing inquiry,Hardware issue,Social media,1.0,1903,Low
4945,36,Female,Sony Xperia,Refund request,Hardware issue,Chat,1.0,1879,Low
4947,24,Male,Sony Xperia,Billing inquiry,Network problem,Email,1.0,1481,Low
4953,25,Female,Canon DSLR Camera,Product inquiry,Account access,Social media,2.0,1596,Low
4954,53,Female,Bose QuietComfort,Cancellation request,Battery life,Email,1.0,1625,Low
4955,67,Male,Nikon D,Billing inquiry,Hardware issue,Email,3.0,1690,Medium
4956,59,Other,Samsung Galaxy,Refund request,Product setup,Email,2.0,1767,Low
4962,67,Male,Canon DSLR Camera,Technical issue,Software bug,Email,5.0,1892,High
4966,57,Other,Autodesk AutoCAD,Technical issue,Installation support,Chat,4.0,1850,High
4968,44,Female,Microsoft Surface,Product inquiry,Account access,Phone,3.0,1563,Medium
4970,47,Other,Fitbit Charge,Product inquiry,Display issue,Social media,2.0,1422,Low
4974,48,Female,Amazon Kindle,Cancellation request,Display issue,Social media,1.0,1655,Low
4975,21,Female,Amazon Kindle,Billing inquiry,Account access,Phone,1.0,1316,Low
4976,42,Male,Nikon D,Technical issue,Account access,Phone,1.0,1896,Low
4980,34,Male,Google Pixel,Product inquiry,Software bug,Chat,2.0,1521,Low
4981,38,Male,HP Pavilion,Technical issue,Delivery problem,Social media,2.0,1443,Low
4985,42,Other,Amazon Echo,Billing inquiry,Account access,Email,3.0,1513,Medium
4989,28,Male,iPhone,Technical issue,Data loss,Email,2.0,1346,Low
4990,31,Female,Google Nest,Cancellation request,Hardware issue,Chat,3.0,1371,Medium
4992,43,Female,Bose QuietComfort,Billing inquiry,Refund request,Social media,5.0,1405,High
4993,39,Male,Bose QuietComfort,Billing inquiry,Software bug,Phone,4.0,1367,High
4996,62,Female,Garmin Forerunner,Billing inquiry,Hardware issue,Chat,4.0,1321,High
5002,41,Female,Sony PlayStation,Product inquiry,Payment issue,Chat,3.0,1619,Medium
5003,22,Female,Nikon D,Billing inquiry,Delivery problem,Email,5.0,1937,High
5010,52,Other,LG Smart TV,Cancellation request,Display issue,Email,4.0,1508,High
5011,43,Other,Apple AirPods,Cancellation request,Refund request,Chat,5.0,1507,High
5013,18,Other,Google Pixel,Product inquiry,Software bug,Phone,1.0,1355,Low
5014,68,Male,Google Nest,Refund request,Account access,Email,4.0,1820,High
5018,44,Female,LG Washing Machine,Cancellation request,Product compatibility,Email,1.0,1814,Low
5024,66,Male,LG OLED,Cancellation request,Product compatibility,Email,3.0,1667,Medium
5028,50,Male,Fitbit Charge,Billing inquiry,Software bug,Social media,4.0,1320,High
5029,68,Male,Apple AirPods,Cancellation request,Peripheral compatibility,Social media,4.0,1858,High
5040,32,Male,iPhone,Cancellation request,Product recommendation,Email,3.0,1424,Medium
5041,49,Male,Adobe Photoshop,Refund request,Payment issue,Phone,1.0,1362,Low
5042,63,Male,Canon EOS,Billing inquiry,Data loss,Social media,2.0,1464,Low
5046,32,Female,HP Pavilion,Cancellation request,Peripheral compatibility,Phone,3.0,1722,Medium
5047,42,Female,Amazon Kindle,Billing inquiry,Delivery problem,Email,4.0,1445,High
5053,20,Other,Google Nest,Refund request,Payment issue,Email,3.0,1790,Medium
5058,55,Other,Nintendo Switch,Product inquiry,Product setup,Chat,2.0,1355,Low
5060,57,Male,Canon DSLR Camera,Refund request,Product setup,Chat,3.0,1983,Medium
5064,44,Other,Asus ROG,Billing inquiry,Network problem,Chat,1.0,1446,Low
5074,19,Other,Bose QuietComfort,Billing inquiry,Battery life,Phone,1.0,1851,Low
5076,60,Other,Sony 4K HDR TV,Product inquiry,Software bug,Phone,4.0,1939,High
5077,25,Female,PlayStation,Product inquiry,Peripheral compatibility,Email,3.0,1656,Medium
5082,46,Female,Amazon Echo,Refund request,Display issue,Chat,4.0,1862,High
5086,25,Male,Apple AirPods,Billing inquiry,Software bug,Social media,4.0,1553,High
5092,44,Female,GoPro Action Camera,Technical issue,Product setup,Chat,5.0,1864,High
5098,18,Male,Asus ROG,Billing inquiry,Display issue,Email,5.0,1930,High
5102,55,Female,HP Pavilion,Product inquiry,Payment issue,Phone,1.0,1536,Low
5105,36,Male,Samsung Soundbar,Product inquiry,Product compatibility,Email,2.0,1421,Low
5108,45,Male,GoPro Action Camera,Billing inquiry,Product recommendation,Social media,4.0,1758,High
5111,59,Female,Bose SoundLink Speaker,Refund request,Product compatibility,Social media,1.0,1875,Low
5112,53,Female,LG OLED,Technical issue,Product compatibility,Email,3.0,1904,Medium
5113,37,Other,Amazon Kindle,Technical issue,Product compatibility,Phone,1.0,2040,Low
5117,44,Female,Amazon Echo,Cancellation request,Installation support,Email,3.0,1581,Medium
5118,22,Other,Amazon Echo,Product inquiry,Display issue,Social media,2.0,1987,Low
5119,23,Female,iPhone,Cancellation request,Cancellation request,Email,3.0,1672,Medium
5122,28,Female,Samsung Galaxy,Billing inquiry,Product compatibility,Chat,1.0,1604,Low
5123,39,Other,LG OLED,Cancellation request,Product recommendation,Phone,1.0,1409,Low
5126,46,Male,Sony PlayStation,Cancellation request,Peripheral compatibility,Chat,3.0,1630,Medium
5127,24,Other,Garmin Forerunner,Billing inquiry,Payment issue,Chat,4.0,1840,High
5128,51,Other,LG OLED,Cancellation request,Product compatibility,Phone,5.0,1843,High
5132,38,Male,Nintendo Switch,Billing inquiry,Hardware issue,Email,5.0,1945,High
5133,53,Male,Sony 4K HDR TV,Cancellation request,Peripheral compatibility,Email,2.0,1785,Low
5138,21,Other,Sony PlayStation,Cancellation request,Account access,Chat,5.0,2004,High
5143,25,Female,Samsung Soundbar,Billing inquiry,Product compatibility,Email,4.0,1488,High
5144,65,Other,Samsung Soundbar,Product inquiry,Display issue,Email,2.0,1738,Low
